ViolationPrecinct,datetime_rnd,counts,counts_hat
0,2017-06-21 03:30:00,0,0.125454626299771
0,2017-06-21 03:45:00,0,0.125283882374971
0,2017-06-21 04:00:00,0,0.0591543693156218
0,2017-06-21 04:15:00,0,0.0576370202155442
0,2017-06-21 04:30:00,0,0.0570863163130712
0,2017-06-21 04:45:00,0,0.0564279536405957
0,2017-06-21 05:00:00,0,0.0377874115661482
0,2017-06-21 05:15:00,0,0.0375021170822276
0,2017-06-21 05:30:00,0,0.03739827958053
0,2017-06-21 05:45:00,0,0.0372674126832759
0,2017-06-21 06:00:00,0,0.0273755585130079
0,2017-06-21 06:15:00,0,0.0272680705901381
0,2017-06-21 06:30:00,0,0.0272296405655287
0,2017-06-21 06:45:00,0,0.027260694522798
0,2017-06-21 07:00:00,0,0.0799563605106869
0,2017-06-21 07:15:00,0,0.0816289789803922
0,2017-06-21 07:30:00,0,0.0822694348808724
0,2017-06-21 07:45:00,0,0.0834534401343689
0,2017-06-21 08:00:00,0,0.190747717718508
0,2017-06-21 08:15:00,0,0.199026342826263
0,2017-06-21 08:30:00,0,0.20262330276395
0,2017-06-21 08:45:00,0,0.206795594578614
0,2017-06-21 09:00:00,0,0.235598019531111
0,2017-06-21 09:15:00,0,0.238666938770745
0,2017-06-21 09:30:00,0,0.240101681715584
0,2017-06-21 09:45:00,1,0.242065464423243
0,2017-06-21 10:00:00,0,0.292877805077519
0,2017-06-21 10:15:00,0,0.299019669882911
0,2017-06-21 10:30:00,0,0.301964433645128
0,2017-06-21 10:45:00,0,0.303687287656688
0,2017-06-21 11:00:00,0,0.216358361818652
0,2017-06-21 11:15:00,0,0.209432809447766
0,2017-06-21 11:30:00,0,0.206540848206364
0,2017-06-21 11:45:00,0,0.203242826279826
0,2017-06-21 12:00:00,0,0.200396729934496
0,2017-06-21 12:15:00,0,0.199851391190461
0,2017-06-21 12:30:00,0,0.199631016829847
0,2017-06-21 12:45:00,0,0.198947314761347
0,2017-06-21 13:00:00,0,0.139880645793891
0,2017-06-21 13:15:00,0,0.136616371112176
0,2017-06-21 13:30:00,0,0.135308333833814
0,2017-06-21 13:45:00,0,0.133845259787651
0,2017-06-21 14:00:00,0,0.119881423788008
0,2017-06-21 14:15:00,0,0.119154001050314
0,2017-06-21 14:30:00,0,0.118857359797225
0,2017-06-21 14:45:00,0,0.119525031246884
0,2017-06-21 15:00:00,0,0.280925074964799
0,2017-06-21 15:15:00,0,0.299459841693004
0,2017-06-21 15:30:00,0,0.308472787208352
0,2017-06-21 15:45:00,0,0.326739776610732
0,2017-06-21 16:00:00,0,0.341697907197852
0,2017-06-21 16:15:00,0,0.328730073738119
0,2017-06-21 16:30:00,0,0.323878400401983
0,2017-06-21 16:45:00,0,0.322476900619713
0,2017-06-21 17:00:00,0,0.243077854599112
0,2017-06-21 17:15:00,0,0.244329068283755
0,2017-06-21 17:30:00,0,0.230030319617114
0,2017-06-21 17:45:00,0,0.233845071823632
0,2017-06-21 18:00:00,0,0.1742698638442
0,2017-06-21 18:15:00,0,0.153985259238097
0,2017-06-21 18:30:00,0,0.146944091566398
0,2017-06-21 18:45:00,0,0.144486296896157
0,2017-06-21 19:00:00,0,0.0952839520743422
0,2017-06-21 19:15:00,0,0.093220298539324
0,2017-06-21 19:30:00,0,0.0924520273396478
0,2017-06-21 19:45:00,0,0.0914741955798073
0,2017-06-21 20:00:00,0,0.0461611938110134
0,2017-06-21 20:15:00,0,0.0453307227806116
0,2017-06-21 20:30:00,0,0.0450296639321676
0,2017-06-21 20:45:00,0,0.0446955736032646
0,2017-06-21 21:00:00,0,0.0414710445557033
0,2017-06-21 21:15:00,0,0.0414127150535545
0,2017-06-21 21:30:00,0,0.0413907048863419
0,2017-06-21 21:45:00,0,0.0413933324743907
0,2017-06-21 22:00:00,0,0.0530673994962044
0,2017-06-21 22:15:00,0,0.0533107197831063
0,2017-06-21 22:30:00,0,0.0534000486157951
0,2017-06-21 22:45:00,0,0.05346891543175
0,2017-06-21 23:00:00,0,0.0422165216952665
0,2017-06-21 23:15:00,0,0.0420318850497092
0,2017-06-21 23:30:00,0,0.0419653379034076
0,2017-06-21 23:45:00,0,0.0419522010103412
0,2017-06-22 00:00:00,0,0.0477490668065767
0,2017-06-22 00:15:00,0,0.0478756213903983
0,2017-06-22 00:30:00,0,0.0479178478500793
0,2017-06-22 00:45:00,0,0.0482866859931091
0,2017-06-22 01:00:00,0,0.135058967352137
0,2017-06-22 01:15:00,0,0.139898547065936
0,2017-06-22 01:30:00,0,0.141874792129915
0,2017-06-22 01:45:00,0,0.143355199069206
0,2017-06-22 02:00:00,0,0.0853984443108721
0,2017-06-22 02:15:00,0,0.0834903861819708
0,2017-06-22 02:30:00,0,0.0827931055988933
0,2017-06-22 02:45:00,0,0.0820768367727814
0,2017-06-22 03:00:00,0,0.0918036474464036
0,2017-06-22 03:15:00,0,0.0921348989420754
0,2017-06-22 03:30:00,0,0.0922540281105275
0,2017-06-22 03:45:00,0,0.0920460491054308
0,2017-06-22 04:00:00,0,0.0434469835219963
0,2017-06-22 04:15:00,0,0.0426072310756551
0,2017-06-22 04:30:00,0,0.0423104722798004
0,2017-06-22 04:45:00,0,0.0419383991803074
0,2017-06-22 05:00:00,0,0.0281175080475908
0,2017-06-22 05:15:00,0,0.0279579988567986
0,2017-06-22 05:30:00,0,0.0279015828248228
0,2017-06-22 05:45:00,0,0.0278243403425439
0,2017-06-22 06:00:00,0,0.0204448648070871
0,2017-06-22 06:15:00,0,0.0203838789690551
0,2017-06-22 06:30:00,0,0.0203627031524585
0,2017-06-22 06:45:00,0,0.0204007741501628
0,2017-06-22 07:00:00,0,0.0598556056120147
0,2017-06-22 07:15:00,0,0.0608118783849707
0,2017-06-22 07:30:00,0,0.0611659780020828
0,2017-06-22 07:45:00,0,0.0619388289402736
0,2017-06-22 08:00:00,0,0.141414136887887
0,2017-06-22 08:15:00,0,0.146075356334388
0,2017-06-22 08:30:00,0,0.148002704009192
0,2017-06-22 08:45:00,0,0.150311615995701
0,2017-06-22 09:00:00,0,0.17076833626314
0,2017-06-22 09:15:00,0,0.172353248940832
0,2017-06-22 09:30:00,0,0.173048707688143
0,2017-06-22 09:45:00,0,0.174221808200354
0,2017-06-22 10:00:00,0,0.210631821409977
0,2017-06-22 10:15:00,0,0.213874855877385
0,2017-06-22 10:30:00,0,0.215300057021188
0,2017-06-22 10:45:00,0,0.215672614542111
0,2017-06-22 11:00:00,0,0.153237169164089
0,2017-06-22 11:15:00,0,0.149464100463973
0,2017-06-22 11:30:00,0,0.147960909849055
0,2017-06-22 11:45:00,0,0.146344184602762
0,2017-06-22 12:00:00,0,0.144753881707714
0,2017-06-22 12:15:00,0,0.144559632349378
0,2017-06-22 12:30:00,0,0.14446130794338
0,2017-06-22 12:45:00,0,0.143910373718515
0,2017-06-22 13:00:00,0,0.101194546910999
0,2017-06-22 13:15:00,0,0.0994510924868861
0,2017-06-22 13:30:00,0,0.0987872979320088
0,2017-06-22 13:45:00,0,0.0980029927151291
0,2017-06-22 14:00:00,0,0.087905447508279
0,2017-06-22 14:15:00,0,0.0875202105010432
0,2017-06-22 14:30:00,0,0.0873756416621727
0,2017-06-22 14:45:00,0,0.0880404874168225
0,2017-06-22 15:00:00,0,0.207168274222379
0,2017-06-22 15:15:00,0,0.217511078246244
0,2017-06-22 15:30:00,0,0.222280991501472
0,2017-06-22 15:45:00,0,0.227474988702259
0,2017-06-22 16:00:00,0,0.226844693205826
0,2017-06-22 16:15:00,0,0.227168657247048
0,2017-06-22 16:30:00,0,0.227319616214549
0,2017-06-22 16:45:00,0,0.226322940140912
0,2017-06-22 17:00:00,0,0.166504386316599
0,2017-06-22 17:15:00,0,0.162427229657838
0,2017-06-22 17:30:00,0,0.160827250862942
0,2017-06-22 17:45:00,0,0.158589003578385
0,2017-06-22 18:00:00,0,0.112292519742679
0,2017-06-22 18:15:00,0,0.114333631248717
0,2017-06-22 18:30:00,0,0.108120284759573
0,2017-06-22 18:45:00,0,0.105164292288618
0,2017-06-22 19:00:00,0,0.0696222900721277
0,2017-06-22 19:15:00,0,0.0685456880500221
0,2017-06-22 19:30:00,0,0.0681267518572279
0,2017-06-22 19:45:00,0,0.0675434644845026
0,2017-06-22 20:00:00,0,0.0341178554095422
0,2017-06-22 20:15:00,0,0.0336562460455059
0,2017-06-22 20:30:00,0,0.0334934707150131
0,2017-06-22 20:45:00,0,0.0333093106739435
0,2017-06-22 21:00:00,0,0.0309307624017535
0,2017-06-22 21:15:00,0,0.0308987974427574
0,2017-06-22 21:30:00,0,0.0308871908441019
0,2017-06-22 21:45:00,0,0.0308958924652
0,2017-06-22 22:00:00,0,0.0396130396592504
0,2017-06-22 22:15:00,0,0.0408160953172184
0,2017-06-22 22:30:00,0,0.0424752457612138
0,2017-06-22 22:45:00,0,0.0404936178627566
0,2017-06-22 23:00:00,0,0.0314648382121661
0,2017-06-22 23:15:00,0,0.0313533037208246
0,2017-06-22 23:30:00,0,0.0313068600315621
0,2017-06-22 23:45:00,0,0.0312690497426472
