datetime_rnd,ViolationCounty,ViolationPrecinct,lon,lat,counts,dow,hour,month,minute,counts_hat
2017-06-20 00:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,0,6,15,0.33505850585058505
2017-06-20 00:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,0,6,30,0.33505850585058505
2017-06-20 00:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,0,6,45,0.33505850585058505
2017-06-20 01:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,1,6,0,0.38045454545454543
2017-06-20 01:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,1,6,15,0.38045454545454543
2017-06-20 01:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,1,6,30,0.38045454545454543
2017-06-20 01:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,1,6,45,0.38045454545454543
2017-06-20 02:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,2,6,0,0.2570454545454545
2017-06-20 02:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,2,6,15,0.2570454545454545
2017-06-20 02:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,2,6,30,0.2570454545454545
2017-06-20 02:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,2,6,45,0.2570454545454545
2017-06-20 03:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,3,6,0,0.20113636363636364
2017-06-20 03:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,3,6,15,0.20113636363636364
2017-06-20 03:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,3,6,30,0.20113636363636364
2017-06-20 03:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,3,6,45,0.20113636363636364
2017-06-20 04:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,4,6,0,0.16318181818181818
2017-06-20 04:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,4,6,15,0.16318181818181818
2017-06-20 04:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,4,6,30,0.16318181818181818
2017-06-20 04:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,4,6,45,0.16318181818181818
2017-06-20 05:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,5,6,0,0.3906818181818182
2017-06-20 05:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,5,6,15,0.3906818181818182
2017-06-20 05:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,5,6,30,0.3906818181818182
2017-06-20 05:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,5,6,45,0.3906818181818182
2017-06-20 06:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,6,6,0,1.7836363636363637
2017-06-20 06:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,6,6,15,1.7836363636363637
2017-06-20 06:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,6,6,30,1.7836363636363637
2017-06-20 06:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,6,6,45,1.7836363636363637
2017-06-20 07:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,7,6,0,2.4279545454545453
2017-06-20 07:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,7,6,15,2.4279545454545453
2017-06-20 07:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,7,6,30,2.4279545454545453
2017-06-20 07:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,7,6,45,2.4279545454545453
2017-06-20 08:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,8,6,0,2.4554545454545456
2017-06-20 08:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,8,6,15,2.4554545454545456
2017-06-20 08:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,8,6,30,2.4554545454545456
2017-06-20 08:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,8,6,45,2.4554545454545456
2017-06-20 09:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,9,6,0,2.368863636363636
2017-06-20 09:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,9,6,15,2.368863636363636
2017-06-20 09:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,9,6,30,2.368863636363636
2017-06-20 09:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,9,6,45,2.368863636363636
2017-06-20 10:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,10,6,0,2.7988636363636363
2017-06-20 10:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,10,6,15,2.7988636363636363
2017-06-20 10:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,10,6,30,2.7988636363636363
2017-06-20 10:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,10,6,45,2.7988636363636363
2017-06-20 11:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,11,6,0,2.795227272727273
2017-06-20 11:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,11,6,15,2.795227272727273
2017-06-20 11:30:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,11,6,30,2.795227272727273
2017-06-20 11:45:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,11,6,45,2.795227272727273
2017-06-20 12:00:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,12,6,0,2.8243181818181817
2017-06-20 12:15:00,NY,0,-73.96776116190523,40.777085050727436,0.0,1,12,6,15,2.8243181818181817
